Town,Year,Town Code,Number of Returns,Percent Affordable,Affordability Score,IIE Score,County
New Canaan,2012,90,8307,2.42,6.515885837372105,99.85546549650886,Fairfield
New Fairfield,2012,91,6025,0.68,1.830910070005385,76.33972088672073,Fairfield
New Hartford,2012,92,3149,2.26,6.085083467959073,86.8818923322632,Litchfield
New Haven,2012,93,46059,29.14,78.45988152934841,49.05302452207569,New Haven
Newington,2012,94,14740,7.17,19.305331179321485,74.8753135618817,Hartford
New London,2012,95,10439,19.9,53.581044695745824,26.974070857719752,New London
New Milford,2012,96,12369,5.38,14.485729671513193,75.84622810001011,Litchfield
Newtown,2012,97,11377,1.73,4.658050619278406,91.08329671573614,Fairfield
Norfolk,2012,98,744,3.21,8.64297253634895,84.71151322458232,Litchfield
North Branford,2012,99,6824,2.2,5.923532579429187,82.92826307605802,New Haven
North Canaan,2012,100,255,6.81,18.336025848142164,57.93010749946591,Litchfield
North Haven,2012,101,11300,4.7,12.654819601507809,85.05870874948013,New Haven
North Stonington,2012,102,2370,0.95,2.557889068389876,75.15642688562977,New London
Norwalk,2012,103,39428,11.43,30.775444264943456,77.617670335074,Fairfield
Norwich,2012,104,17081,16.89,45.476575121163165,40.248980419185834,New London
Old Lyme,2012,105,3911,1.41,3.7964458804523424,94.48909154146095,New London
Old Saybrook,2012,106,4909,1.29,3.4733441033925687,87.32395567480836,Middlesex
Orange,2012,107,6378,1.1,2.9617662897145935,91.80200089982652,New Haven
Oxford,2012,108,5614,0.95,2.557889068389876,85.13671723348553,New Haven
Plainfield,2012,109,6305,14.42,38.82606354334949,45.99072624378511,Windham
Plainville,2012,110,8517,7.08,19.063004846526656,69.52646301204848,Hartford
Plymouth,2012,111,5538,6.58,17.716747442110933,70.23048997035731,Litchfield
Pomfret,2012,112,1853,3.03,8.15831987075929,80.78648061347741,Windham
Portland,2012,113,4295,8.05,21.674744211093163,80.9231363711483,Middlesex
Preston,2012,114,2101,3.96,10.662358642972537,71.19011606764965,New London
Prospect,2012,115,4390,0.83,2.234787291330102,81.65746441829677,New Haven
Putnam,2012,116,3879,13.7,36.88745288099084,38.195722518394135,Windham
Redding,2012,117,3970,0.0,0.0,97.005050473934,Fairfield
Ridgefield,2012,118,9921,2.34,6.300484652665589,96.92208682373223,Fairfield
Rocky Hill,2012,119,9498,4.95,13.32794830371567,83.66053196116266,Hartford
Roxbury,2012,120,989,1.71,4.604200323101777,92.08992033577297,Litchfield
Salem,2012,121,1838,1.77,4.765751211631664,87.62029275811926,New London
Salisbury,2012,122,1684,1.23,3.3117932148626816,86.56572770057033,Litchfield
Scotland,2012,123,329,1.62,4.361873990306947,70.93464615009889,Windham
Seymour,2012,124,7460,5.27,14.189553042541732,73.06148561449419,New Haven
Sharon,2012,125,1036,1.35,3.634894991922456,93.03588896779577,Litchfield
Shelton,2012,126,18391,2.73,7.350565428109855,81.02341800129105,Fairfield
Sherman,2012,127,1657,0.11,0.29617662897145935,81.9313847283009,Fairfield
Simsbury,2012,128,10169,3.4,9.154550350026925,92.82641905747604,Hartford
Somers,2012,129,4266,2.27,6.1120086160473885,85.05999989756346,Tolland
Southbury,2012,130,8858,1.15,3.096392030156166,88.31199036388215,New Haven
Southington,2012,131,19655,5.63,15.158858373721054,82.3127626817022,Hartford
South Windsor,2012,132,11943,6.99,18.820678513731828,84.73921795812076,Hartford
Sprague,2012,133,1474,4.81,12.950996230479266,51.455033302161375,New London
Stafford,2012,134,1486,6.81,18.336025848142164,60.069818144465714,Tolland
Stamford,2012,135,57097,15.48,41.680129240710826,84.20935419491889,Fairfield
Sterling,2012,136,1346,2.38,6.4081852450188475,48.78050711788319,Windham
Stonington,2012,137,12203,3.86,10.393107162089391,83.26456208592502,New London
