Tax Year,Town,Fed AGI,CT AGI,CT Income Tax ,Federal EITC Claimed,Number of EITC Credits Claimed,Amount of EITC Claimed,Percentage By Town
2016,PLYMOUTH,10791870,10726380,50819,1017835,554,280364,0.25
2016,POMFRET,2212994,2214000,7573,231044,120,63537,0.06
2016,PORTLAND,5385916,5364320,18346,609759,302,167732,0.15
2016,PRESTON,3600064,3570425,15340,308185,185,84751,0.08
2016,PROSPECT,5110060,5061300,19934,445714,280,122572,0.11
2016,PUTNAM,13201300,13138236,49890,1387071,688,382346,0.34
2016,REDDING,1891902,1846452,5461,171188,133,46405,0.04
2016,RIDGEFIELD,4591523,4551205,13114,407571,315,113397,0.1
2016,ROCKY HILL,9883222,9841014,46699,915967,558,253641,0.23
2016,ROXBURY,838993,800791,2710,78306,49,21534,0.02
2016,SALEM,2363543,2318183,8251,217167,118,59720,0.05
2016,SALISBURY,2063644,2053370,10332,169390,112,46582,0.04
2016,SCOTLAND,531274,530831,1877,44074,27,12121,0.01
2016,SEYMOUR,15315283,15232457,73582,1457676,772,401205,0.36
2016,SHARON,1277071,1273004,3847,143187,80,39377,0.04
2016,SHELTON,24304853,24209691,105207,2383665,1316,654584,0.59
2016,SHERMAN,1439368,1420696,3409,126453,79,34775,0.03
2016,SIMSBURY,9272786,9189310,63682,803766,485,221059,0.2
2016,SOMERS,4218076,4189832,15023,414015,243,114784,0.1
2016,SOUTHBURY,5832834,5784982,25791,522623,343,143721,0.13
2016,SOUTHINGTON,26798044,26602893,125307,2371508,1394,652324,0.58
2016,SOUTH WINDSOR,11233938,11166189,51540,1004863,607,276340,0.25
2016,SPRAGUE,4407576,4399415,20858,458862,226,126186,0.11
2016,STAFFORD,11215709,11172549,46574,1088768,569,300838,0.27
2016,STAMFORD,120345730,120791255,481107,12514390,6411,3445487,3.09
2016,STERLING,3816275,3804695,19858,344704,181,94795,0.08
2016,STONINGTON,15489139,15345603,50327,1657913,908,455929,0.41
2016,STRATFORD,58201172,57917718,258054,5898740,2941,1618818,1.45
2016,SUFFIELD,6642907,6584290,31165,577801,348,158895,0.14
2016,THOMASTON,6462861,6383957,25504,616900,358,169650,0.15
2016,THOMPSON,8116404,8074900,20949,791195,398,216215,0.19
2016,TOLLAND,4964714,4927422,23554,410733,276,112953,0.1
2016,TORRINGTON,46454642,46254321,174930,4971800,2449,1366046,1.22
2016,TRUMBULL,13978885,13908412,55243,1270564,787,350926,0.31
2016,UNION,207669,207063,387,25899,14,7122,0.01
2016,VERNON,32021713,31856580,127032,3462175,1707,951262,0.85
2016,VOLUNTOWN,2119525,2102493,9408,219669,119,60410,0.05
2016,WALLINGFORD,32336412,32214597,140513,2982127,1701,819753,0.74
2016,WARREN,647526,646537,1386,57036,32,15684,0.01
2016,WASHINGTON,1964190,1956965,5522,184605,118,50767,0.05
2016,WATERBURY,237839977,237358683,890177,30579237,12628,8411900,7.54
2016,WATERFORD,14696676,14632391,64717,1377920,767,378928,0.34
2016,WATERTOWN,17014202,16942743,73497,1631494,874,448663,0.4
2016,WESTBROOK,3760240,3739731,14829,334062,239,91865,0.08
2016,WEST HARTFORD,39173197,38967427,153239,4025274,2081,1106962,0.99
2016,WEST HAVEN,80546332,80265253,324645,9119452,4250,2514104,2.25
2016,WESTON,1041151,1026386,3442,143686,101,39514,0.04
2016,WESTPORT,3503246,3451808,20295,515379,355,142749,0.13
2016,WETHERSFIELD,20024470,19903415,83373,1895930,1018,522749,0.47
2016,WILLINGTON,2758072,2752937,9827,363490,196,99962,0.09
2016,WILTON,3026765,3014811,10386,235466,194,64259,0.06
2016,WINCHESTER,13033917,12970722,47279,1440511,690,397333,0.36
2016,WINDHAM,43246724,43086146,172813,5038529,2267,1387569,1.24
2016,WINDSOR,32088798,31949729,175819,2909815,1575,800122,0.72
2016,WINDSOR LOCKS,13048692,13008499,57631,1234128,663,340412,0.31
2016,WOLCOTT,11894159,11845817,49966,1107617,617,304596,0.27
2016,WOODBRIDGE,2794701,2772621,12106,347822,178,95652,0.09
2016,WOODBURY,4662594,4625262,18602,417540,276,114824,0.1
2016,WOODSTOCK,5197905,5148763,20487,443144,263,120840,0.11
2015,ANDOVER,1752844,1744869,5765,153040,92,42086,0.04
2015,ANSONIA,30648101,30540981,116892,3545780,1609,972453,0.89
2015,ASHFORD,4750888,4725901,17785,442052,230,121564,0.11
2015,AVON,4993010,4941969,16648,400932,279,111685,0.1
2015,BARKHAMSTED,2122456,2111872,9795,187843,106,51659,0.05
2015,BEACON FALLS,3871082,3832445,15267,332906,212,91549,0.08
2015,BERLIN,11127329,11068272,43719,967357,584,264638,0.24
2015,BETHANY,2040400,2029961,6856,190267,123,52324,0.05
2015,BETHEL,12360592,12312398,42279,1150243,644,317158,0.29
2015,BETHLEHEM,1822791,1822364,10586,167856,108,46160,0.04
2015,BLOOMFIELD,25062583,24852957,103386,2277210,1272,625006,0.57
2015,BOLTON,2310922,2280564,7965,187197,138,51479,0.05
2015,BOZRAH,2232743,2219443,10080,180928,114,49756,0.05
2015,BRANFORD,19334550,19198724,65210,1751031,1100,479377,0.44
2015,BRIDGEPORT,301601324,300825764,999043,37297732,16081,10227090,9.33
2015,BRIDGEWATER,643357,624382,2385,39587,40,10886,0.01
2015,BRISTOL,73890951,73618519,271257,7908189,3847,2174825,1.99
2015,BROOKFIELD,7801992,7763828,23063,740656,466,203682,0.19
2015,BROOKLYN,6844107,6797722,24161,710036,369,194245,0.18
2015,BURLINGTON,3679026,3595105,11521,313664,194,86260,0.08
2015,CANAAN,4157212,4143876,13791,361364,215,99375,0.09
2015,CANTERBURY,4613761,4587750,18034,475807,252,129887,0.12
2015,CANTON,3975560,3957945,11864,351051,250,96539,0.09
